"","BATTER_UID","AVG","OBP","SLG","VENUE_KEY","OUTS","BALLS","STRIKES","BATS_LEFT","THROWS_LEFT","PITCH_NUMBER","RELEASE_SPEED","PLATE_X","PLATE_Z","INDUCED_VERTICAL_BREAK","HORIZONTAL_BREAK","VERTICAL_APPROACH_ANGLE","HORIZONTAL_APPROACH_ANGLE","Prob of Single","Prob of Double","Prob of Triple","Prob of Home Run"
"1",81,0.261,0.3285,0.3655,2528,2,1,2,1,0,6,89.3358001708984,-0.384399980306625,2.53049993515015,16.4084987640381,-4.47750997543335,-4.95774984359741,2.42158985137939,0.19,0.078,0.008,0.058
"2",125,0.2295,0.3255,0.4005,2683,1,1,1,1,0,3,87.974235534668,0.595641016960144,2.48566102981567,0.62193363904953,-1.30332434177399,-7.05557203292847,2.36758899688721,0.244,0.07,0.01,0.047
"3",21,0.2745,0.3365,0.4425,2724,2,2,0,0,0,3,90.3796997070312,-0.0741844028234482,2.73273992538452,15.175799369812,-1.61159002780914,-5.58009004592896,2.5713300704956,0.186,0.086,0.009,0.113
"4",73,0.289,0.381,0.374,2772,1,0,1,1,1,2,80.5156021118164,0.350665003061295,1.27243995666504,11.2826995849609,13.4523000717163,-7.8131799697876,-0.765851020812988,0.214,0.084,0.009,0.046
"5",142,0.3195,0.3605,0.4435,5472,0,0,1,1,0,2,84.0691680908203,1.08044898509979,1.93401801586151,-3.22855377197266,11.446439743042,-8.63542175292969,3.91845107078552,0.263,0.068,0.009,0.033
"6",81,0.261,0.3285,0.3655,2843,1,0,2,0,1,3,90.8547592163086,0.705589950084686,3.35411214828491,17.5839862823486,8.33573818206787,-4.3280520439148,-1.83880996704102,0.211,0.067,0.015,0.05
"7",117,0.2845,0.344,0.4435,2683,0,2,2,0,1,5,82.5804977416992,0.233624011278152,3.08311986923218,5.28302001953125,-1.29749000072479,-6.07106971740723,-1.73917996883392,0.206,0.078,0.011,0.062
"8",70,0.238666,0.293666,0.389333,5472,2,3,2,0,0,7,94.7287368774414,0.638729989528656,2.39530801773071,-13.9081792831421,9.57578086853027,-8.91053199768066,3.11738872528076,0.324,0.054,0.007,0.028
"9",98,0.2965,0.384,0.527,4271,1,0,0,1,0,1,94.9535980224609,-0.0346716977655888,2.77921009063721,16.9820995330811,3.19898986816406,-5.30443000793457,1.41445004940033,0.215,0.081,0.008,0.07
"10",16,0.28,0.353,0.361,2852,1,1,1,0,0,3,82.409797668457,-0.24193899333477,3.61843013763428,-2.90073990821838,12.4772996902466,-5.93848991394043,2.90461993217468,0.19,0.078,0.009,0.098
"11",1,0.3025,0.348,0.555,2767,2,3,1,0,0,5,96.0230026245117,0.0406488999724388,2.05479001998901,19.0767002105713,-12.0160007476807,-4.95892000198364,2.19394993782043,0.223,0.083,0.01,0.064
"12",49,0.269666,0.351,0.413333,2842,2,1,1,1,1,3,91.356201171875,0.634680986404419,3.14054989814758,19.8597011566162,11.9544992446899,-4.95545959472656,0.186019003391266,0.193,0.071,0.013,0.084
"13",1,0.3025,0.348,0.555,2858,2,1,0,0,0,2,91.7285003662109,-0.078935794532299,2.4677300453186,16.209098815918,-12.3596992492676,-5.52532005310059,1.6366800069809,0.199,0.086,0.009,0.081
"14",144,0.219,0.294,0.482,5472,0,2,2,0,1,9,83.7093276977539,-0.350939005613327,1.72169005870819,3.0671648979187,-7.45754337310791,-7.8235068321228,-1.60115897655487,0.219,0.071,0.004,0.04
"15",49,0.269666,0.351,0.413333,2842,0,0,1,1,0,2,90.00439453125,-1.0354700088501,2.21724987030029,-0.0180300008505583,-17.3077011108398,-6.1670298576355,0.916490972042084,0.256,0.092,0.005,0.034
"16",41,0.2405,0.3375,0.4175,3789,1,1,0,0,1,2,77.217399597168,-0.300062000751495,1.65008997917175,1.46406996250153,13.1217002868652,-8.14867973327637,-0.220204994082451,0.194,0.092,0.006,0.085
"17",152,0.314,0.353,0.461,2528,0,0,0,0,1,1,81.5867004394531,-0.26936799287796,2.00519013404846,2.16962003707886,0.19675999879837,-8.38117980957031,-2.25009989738464,0.22,0.09,0.006,0.057
"18",51,0.271,0.3205,0.411,5472,2,2,0,0,1,3,79.2811965942383,0.143984004855156,2.39695000648499,-3.87215995788574,-14.8149003982544,-8.50963020324707,-4.23812007904053,0.205,0.078,0.009,0.084
"19",73,0.289,0.381,0.374,5421,2,1,2,1,0,4,85.1662979125977,-0.657128989696503,1.40745997428894,3.46628999710083,-16.722900390625,-7.1202597618103,0.256080001592636,0.245,0.09,0.008,0.03
"20",82,0.2365,0.3505,0.429,2541,0,1,0,0,0,2,85.6821975708008,-0.0138112995773554,2.93213987350464,8.50428009033203,1.74451994895935,-5.86034965515137,3.15721988677979,0.189,0.087,0.008,0.101
"21",40,0.281666,0.372333,0.395666,2745,1,1,0,1,0,2,90.1069030761719,-0.0969820022583008,2.16223001480103,15.109299659729,-14.1907997131348,-6.1188497543335,1.33906996250153,0.208,0.09,0.008,0.07
"22",84,0.267,0.3825,0.389,2842,0,0,1,1,0,2,72.5704956054688,-0.330822974443436,2.17969989776611,-8.78429985046387,17.5700988769531,-9.68321990966797,2.95231986045837,0.207,0.093,0.006,0.059
"23",142,0.3195,0.3605,0.4435,4271,1,0,0,1,0,1,95.2360992431641,-0.137021988630295,1.69685006141663,12.576099395752,-13.8541994094849,-6.74624013900757,0.0493390001356602,0.258,0.084,0.006,0.038
"24",74,0.2905,0.3425,0.457,2745,0,0,1,1,1,2,88.0824966430664,-0.678543984889984,1.6131100654602,13.6988000869751,2.8351399898529,-6.77567958831787,-2.86505007743835,0.236,0.095,0.006,0.039
"25",98,0.2965,0.384,0.527,4715,0,0,0,1,1,1,85.6186981201172,-0.220469996333122,2.34182000160217,6.84649991989136,-5.23014974594116,-6.41275978088379,-3.47413992881775,0.216,0.085,0.007,0.061
"26",82,0.2365,0.3505,0.429,2541,0,2,1,0,0,4,84.5205993652344,0.00563758984208107,1.83658993244171,0.710139989852905,9.60476016998291,-8.07528018951416,1.37502992153168,0.241,0.084,0.007,0.051
"27",74,0.2905,0.3425,0.457,2745,0,1,1,1,0,3,86.7331008911133,0.901724934577942,1.68529009819031,15.0573997497559,1.82393002510071,-6.52243041992188,4.24321985244751,0.222,0.08,0.011,0.048
"28",66,0.277,0.3475,0.4255,2745,2,3,1,0,0,5,90.7647933959961,-0.672810971736908,2.65900993347168,9.98709964752197,-10.3009996414185,-5.50222015380859,-0.68801999092102,0.207,0.088,0.008,0.083
"29",41,0.2405,0.3375,0.4175,5355,0,2,1,0,0,4,88.6034927368164,-0.582279026508331,2.25778985023499,11.8001003265381,6.58372020721436,-6.6972393989563,2.38545989990234,0.215,0.098,0.006,0.067
"30",98,0.2965,0.384,0.527,4715,2,3,2,1,0,6,92.7307968139648,-0.284265011548996,3.20255994796753,17.4826984405518,-3.80603003501892,-4.40863990783691,1.11713004112244,0.197,0.083,0.011,0.08
